単語,意味
narrowly,かろうじて
kick in,作動する
blackout,停電
interfer,妨げる
vicinity,近所
outage,供給停止
cite,引用する
every once in a while,時々
be suspicious of,疑っている
I guess,じゃないかな
rancher,牧場主
miner,鉱夫
come  across,出くわす
encroach,侵入する
contract a disease,病気にかかる
due to,の予定である
pendint,を待つ間
life expectancy,平均寿命
pronounce,公表する
steep,急な
provisional,仮の
demographic,層
determine,決意する
take ~ backwards,交代する
Republican,共和党
wound,傷つける
hit back,反論する
duel,争い
intimidate,怖がらせる
storm,襲う
patriot,愛国者
outrageous,法外な
equate,同等と見なす
fellow,仲間
disparage,名誉を傷つける
slander,中傷する
saddle,課す
betray,裏切る
